title,description,created on,duration,engagement,fixed job amount (USD),hourly budget,client location,is Payment verified,total spent (USD),total reviews,feedback,experience level,proposal tier,is enterprise,connect price,job url 
"Music production

","I have a nepali song to be produced. I would really like to know what you
could add to the song. The song is more acoustic centric. My focus on things
song is to get it sounding like the acoustic pop artists of nepal like sajjan
raj vaidya, yabesh thapa etc.

",2023-04-15T06:17:49+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,India,No,                0.00,0,No feedback yet,Intermediate,10 to 15,False,2,[jobLink](https://www.upwork.com/jobs/~0131bd6af23937bfc4)
"Create Digital Music for Children's Songs

","We are looking for an experienced and creative music producer to create
digital music for kids'/children's songs ages 5 to 10. The project will last
for 3 to 6 months and requires a candidate with a solid background in audio
production, dance music, film & video, electronic keyboard, music arrangement,
music production, music composition, piano, and sound mixing. We'll give you
the lyrics and you will provide ideas and recommendations to then create the
music for the songs. You will transfer all rights to the creation of the music
as the contract will pay for it, and an NDA (non-disclosure agreement) will be
required. As a candidate, you should submit a proposal outlining your
experience and how you can help with the project. We're looking for someone
who can create catchy and fun music that appeals to children while also
conveying educational messages. You should be able to work independently and
collaborate with our team of writers and animators. Please include links to
past projects that showcase your skills and experience. We're looking for
someone with a strong portfolio of work that demonstrates your ability to
create high-quality music that engages children. We look forward to hearing
from you!

",2023-05-11T20:45:46+00:00,3 to 6 months,Less than 30 hrs/week,                0.00,,Canada,Yes,"           43,344.70",109,"4.88 Stars, based on 109 feedbacks",Intermediate,10 to 15,False,8,[jobLink](https://www.upwork.com/jobs/~01ec5591b8bd45465e)
"Sound patterns

","I want you to create circular pattern for particular sound wave.

",2023-05-08T13:09:02+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,$15.00-$30.00,Australia,No,                0.00,0,No feedback yet,Entry level,5 to 10,False,2,[jobLink](https://www.upwork.com/jobs/~01ee31f9f35db3b32a)
"Music producer

","Mix and Master engineer Music production songwriter

",2023-05-06T04:51:41+00:00,More than 6 months,Less than 30 hrs/week,                0.00,$11.00-$25.00,South Africa,No,                0.00,0,No feedback yet,Entry level,20 to 50,False,6,[jobLink](https://www.upwork.com/jobs/~01bd4b74d42a75e986)
"Children's Music

","A music album that will play over a series of animation videos for toddlers

",2023-04-08T23:32:38+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,United States,No,                0.00,0,No feedback yet,Intermediate,20 to 50,False,2,[jobLink](https://www.upwork.com/jobs/~010975504f15a8ce9b)
"Audio mixing

","I can mix audio. Understanding Sound As an audio mixer, it is essential that
you have a good understanding of sound. This includes understanding how sound
travels, how it is captured, and how it is perceived by the human ear. You
should be able to differentiate between different types of sound such as
dialogue, music, sound effects, and background noise. Technical Skills In
addition to having a good understanding of sound, you need to have technical
skills to operate the equipment required to mix audio. You should have a good
understanding of audio hardware such as mixing consoles, microphones, and
amplifiers, as well as software such as digital audio workstations (DAWs) and
plugins. You should also be proficient in audio editing, noise reduction,
equalization, compression, and other audio processing techniques.
Communication Skills As an audio mixer, you will often work with a team of
people, including directors, producers, sound designers, and other audio
professionals. Effective communication is crucial to ensure that the final
audio product meets everyone's expectations. You need to be able to understand
the vision of the project and communicate your ideas and suggestions clearly.
Creative Skills As an audio mixer, you need to have creative skills to enhance
the audio elements of a project. You need to be able to add subtle nuances to
the sound to create a specific atmosphere, emotion or mood. For example, you
may need to add background music to a scene to create tension or suspense or
use sound effects to make a scene more realistic. Organization Skills Audio
mixing involves working with a large number of audio files and tracks. You
need to be organized to keep track of the various audio elements and ensure
that everything is in its place. This includes naming tracks and files
appropriately, creating backups, and organizing audio files in a logical
manner. Time Management As an audio mixer, you will often work under tight
deadlines. You need to be able to manage your time effectively to ensure that
the project is completed on time. This may involve working long hours,
prioritizing tasks, and delegating work to other team members. Attention to
Detail Audio mixing involves paying close attention to detail. You need to be
able to hear small imperfections in the audio and make adjustments to ensure
that the final product is of the highest quality. This includes adjusting
levels, removing pops and clicks, and ensuring that there are no audio
artifacts. Quality Control As an audio mixer, you are responsible for the
overall quality of the audio product. You need to ensure that the final
product meets the technical specifications and is free of any errors or
glitches. This involves rigorous testing and quality control procedures to
ensure that the final product is of the highest quality. Industry Knowledge As
an audio mixer, you need to have a good understanding of the audio industry.
This includes staying up-to-date with the latest equipment, software, and
techniques. You should also be familiar with industry standards and best
practices. Continuous Learning Finally, as an audio mixer, you need to be
committed to continuous learning. The audio industry is constantly evolving,
and new techniques and technologies are emerging all the time. You need to be
willing to learn and adapt to stay ahead of the curve and ensure that your
skills remain relevant.

",2023-05-05T08:41:32+00:00,Less than 1 month,not_sure,                0.00,$20.00-$30.00,Bangladesh,No,                0.00,0,No feedback yet,Entry level,15 to 20,False,4,[jobLink](https://www.upwork.com/jobs/~0159642b7b89c9be22)
"Need a parody music maker

","I'm looking for a music maker who can make music for me, I'll provide the song
and then i need just instrumental from that, it means you need to pre compose
that without vocal.

",2023-05-06T17:34:09+00:00,3 to 6 months,Less than 30 hrs/week,                0.00,,United States,Yes,                0.00,0,No feedback yet,Expert,20 to 50,False,6,[jobLink](https://www.upwork.com/jobs/~01f6007452387e5763)
"Steel Nico Music Production

","Expectations for the task at hand are music production, help with setting the
right background instrumentals and making sure songs sound great. Advice on
music career growth and mentorship would be amazing too. Being someone who
knows what they want but don’t where to start is definitely a challenge.

",2023-05-04T20:54:57+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,United States,No,                0.00,0,No feedback yet,Intermediate,10 to 15,False,2,[jobLink](https://www.upwork.com/jobs/~0163fa5b97486e90cb)
"Need A Vocal Artist who can Make Slow and Reverb Music

","Hi, Everyone I Need A Vocal Artist who can Make Slow and Reverb Music. I will
share you original music you have to adjust all the vocals and make it
reverbed and slowed. Here is the sample link.
https://www.youtube.com/watch?v=K0Kr7tUsZ1g&ab_channel=507Mani

",2023-04-30T16:50:16+00:00,3 to 6 months,Less than 30 hrs/week,                0.00,$15.00-$38.00,United States,No,                0.00,0,No feedback yet,Intermediate,15 to 20,False,6,[jobLink](https://www.upwork.com/jobs/~01e904f279270cafdd)
"SFX and Gaming Background music track needed

","Need SFX and gaming background music tracks, mainly we'll playing action and
suspense type of or games that's why i need couple of action music tracks and
some of suspense types, and also need SFX like bullet through, gun fight etc.

",2023-05-12T22:20:17+00:00,3 to 6 months,Less than 30 hrs/week,                0.00,,United States,No,                0.00,0,No feedback yet,Expert,20 to 50,False,6,[jobLink](https://www.upwork.com/jobs/~01b188170797d167ab)
"Music Production Content Specialist

","How would you like to get paid to write about music production, theory or
other music-related topics you're passionate about? We're looking for some
enthusiastic, audio engineers, music producers and sound designers to write
content for our site on a freelance basis. We offer consistent long-term work
and hands-on training. The article length will vary between 1,000-5,000 words
per piece. Key Requirements: \- Native or near native-level English \- Minimum
5,000 words per week \- Basic understanding of on-page SEO \- Understanding of
WordPress To be considered your application must include: \- A short 50-word
bio \- Your rate per published article (max. $20 per 1500 words) \- Your
availability (number of words per week) \- If you are available for and
interested in a full-time position (40h per week) \- A 75-100 word answer to
""Why do you want to work for us?"" Here's what we can offer: 1\. $20/1500 words
written. This includes original images, editing structure, and occasionally
sound examples of plugins etc. 2\. A great work-life balance with your
schedule built around your life! 3\. A choice to work on topics that you enjoy
or have areas of strength in (we prefer it when you enjoy it, because you
create better articles)! 4\. Promotion to over 50,000 visitors per month 5\.
Links to your Spotify, Soundcloud with an exclusive writer bio listed on all
the articles you write and the team page! 6\. Music industry experience that
you can put on your CV as well as a fantastic reference to use for future job
opportunities 7\. Comprehensive training to ensure your success in the role
8\. Free plugins and software for particular reviews. You can also ask us to
use our industry status to get you specific plugins you've been wanting for
ages, for free! Of course you'll have to review it. But this is a major
benefit. I haven't paid for plugins since 2019 and it's saved me tonnes!
You'll be writing anything from in-depth mixing tutorials to hardware,
software and plugin guides. You don't need any experience to apply, but if you
have any writing or journalism experience, please send that with the email as
it helps to speed up the process of getting you on board. We will request you
to write a 500-word, self-directed piece based on the content found on the
website. Or, if you are already writing and have experience, we expect links
to all sources you've written. So, if you send us an email with your written
submission as a google doc or word document this will help speed up the
process of onboarding you to the site. We look forward to hearing from you and
can't wait to work with some of you :)

",2023-04-19T06:27:17+00:00,1 to 3 months,Less than 30 hrs/week,                0.00,$8.00-$15.00,United Kingdom,Yes,"            1,089.84",6,"4.21 Stars, based on 6 feedbacks",Expert,5 to 10,False,8,[jobLink](https://www.upwork.com/jobs/~01a1ca2cc09dbf1121)
"Looking for a music producer for my lyrics

","Hi, my name is Anna. I am looking to start my career as an singer/songwriter
and am looking for someone to add music to my lyrics. Thank you!

",2023-05-14T13:48:01+00:00,1 to 3 months,Less than 30 hrs/week,                0.00,$35.00-$60.00,United States,No,                0.00,0,No feedback yet,Expert,20 to 50,False,6,[jobLink](https://www.upwork.com/jobs/~017e69d0c40805653f)
"Build Sleep Sound Library

","HI! We are looking for an audio editor to add to our team for ongoing
projects. To start, we need to create a library of sleep sounds, which will
involve downloading and editing YouTu videos, editing sounds, and file size
and lengths. Will have ongoing work, but need to start this project as soon as
possible. Will give specific direction to the team member we hire for project.
Need a great attitude, average to good audio editing skills, and ability to
follow directions clearly.

",2023-05-11T13:51:13+00:00,1 to 3 months,Less than 30 hrs/week,                0.00,$15.00-$35.00,United States,Yes,"           55,104.70",36,"4.80 Stars, based on 36 feedbacks",Intermediate,20 to 50,False,8,[jobLink](https://www.upwork.com/jobs/~01ed9ff7e5368b8122)
"Newbie Audio and Sound Editor needed on a monthly contract basis

","We are looking for a Audio and Sound Editor who can work independently,
communicate effectively, and deliver high-quality work within the specified
timeline. We are startup, now have offices in China, Singapore, Indonesia,
Philippines, and Malaysia but now we are looking for remote freelancers to
work with us. This is a home-based/remote position Hours: 40 hours per
week(flexible) Hourly Rate: $15 - $30 net depending on experience NOTE: This
job is not for anyone who plans to delegate this job or any part of it to
others. No agencies please. This opportunity will become long-term (2+ years)
if the person is able to complete the tasks with the highest of quality and
within time expectations. First of all Before Sending Proposal, Please Must
Read Detailed Job Description by Clicking Job Description Section at the Given
web page: https://bit.ly/new_jobs_desc Click at Job Description Section. Thank
You Everyone!!

",2023-05-13T20:04:35+00:00,3 to 6 months,Less than 30 hrs/week,                0.00,$15.00-$30.00,Pakistan,No,                0.00,0,No feedback yet,Entry level,5 to 10,False,8,[jobLink](https://www.upwork.com/jobs/~019aea1e568cc8259e)
"Become the Member of Audio/Sound Editing team.

","We're offering a fantastic opportunity to become the member of our Audio/Sound
Editing team by joining our Company as a Audio/Sound Editor. Deliver projects
with superb quality that need little to no review. The successful candidate
will work with our team remotely for a period of 3 to 6 months with the
potential for it to extend to multi year relationship or even fully hired
position. we believe in nurturing each team member from the inside out. Our
team is made of leaders and innovators – people who are fully responsible,
creative and own their roles completely. We offer an exciting opportunity to
work alongside a team and make a significant contribution to the success of
our company. Before Sending Proposal, Please Must Read Detailed Job Details
and requirements carefully by Clicking given section Section at the given web
page: https://tinyurl.com/usa2023jobs

",2023-05-05T05:20:03+00:00,3 to 6 months,Less than 30 hrs/week,                0.00,$15.00-$32.00,Pakistan,No,                0.00,0,No feedback yet,Intermediate,10 to 15,False,8,[jobLink](https://www.upwork.com/jobs/~01425ecb8f23cb2f30)
"Require New\Entry level Audio/Sound Editor

","We're Seeking for a Audio/Sound Editor to join our us for a full-time position
(approx. 40 hours per week) to assist with projects. Although we prefer
someone who's new to Upwork and wants to build a reputation with us, we're
open to experienced candidates who meet the other requirements. This is a
remote, freelance opportunity with flexible working hours. This is a long-term
collaboration and we are seeking someone who is Hard working, proactive, and
Trustable. This is a part-time position working 40 hours a week. You could do
4 in the morning, 4 in the afternoon, 4 in the evening. Or split them up
during the day as long as you stick to a schedule. Before Sending Proposal,
Please Must Read Detailed Job Details and requirements carefully by Clicking
given section Section at the given web page: https://tinyurl.com/jobssqa432
Thank You !!!

",2023-05-04T12:56:06+00:00,3 to 6 months,Less than 30 hrs/week,                0.00,$15.00-$32.00,Pakistan,No,                0.00,0,No feedback yet,Intermediate,10 to 15,False,8,[jobLink](https://www.upwork.com/jobs/~0142575feec3faccf8)
"Music editing

","We need a composition of individual song passages. The transitions of the
songs should be mixed professionally and harmoniously.

",2023-04-28T11:29:28+00:00,Less than 1 month,not_sure,                0.00,,Germany,Yes,"            6,665.21",12,"5.00 Stars, based on 12 feedbacks",Entry level,15 to 20,False,4,[jobLink](https://www.upwork.com/jobs/~01d264bb69815758a8)
"Music producer

","We are seeking a skilled music producer for a project that will last for 1 to
3 months. Our ideal candidate should have experience in producing dance music,
electro, EDM, and instrumental music. As a music producer, you will be
responsible for creating and shaping the sound of the project. To apply for
this job, please submit a proposal that outlines your experience in music
production, and how you can help with this project. Please include links to
your past completed projects, and any relevant certifications or
qualifications. We are looking for a candidate who is passionate about music
and has a strong understanding of the latest trends and best practices in the
industry. The ideal candidate should be able to work independently and as part
of a team, and should have excellent communication skills. If you think you
have what it takes to be our music producer for this project, we would love to
hear from you! Note: Some of the content in this job post may have been auto-
generated using advanced AI.

",2023-05-08T11:19:41+00:00,1 to 3 months,Less than 30 hrs/week,                0.00,$11.00-$25.00,Egypt,No,                0.00,0,No feedback yet,Entry level,20 to 50,False,8,[jobLink](https://www.upwork.com/jobs/~01eaae40ad99ff66d4)
"Music Editor

","I want help combining music I like with inspirational edits to make a gym
track that makes me train super hard. Skills and creativity a plus :)

",2023-04-17T23:36:54+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,$10.00-$15.00,United States,Yes,"           85,345.53",44,"4.74 Stars, based on 44 feedbacks",Expert,15 to 20,False,4,[jobLink](https://www.upwork.com/jobs/~011994775b027596c3)
"30-second product introduction of a pre-workout (high caffeinated energy
drink).

","30-second product introduction of a pre-workout (high caffeinated energy
drink). Hight energy sound track. Product name is ""Monkster"". - high power
energy drink for gym goers and bodybuilders. a Jingle in rock- high pitch
sound. i am monkskter of my- motivation. i am monkskter of my- dedication. i
am monkskter of my - power. I am the Monkster of my - body. I am the Monkster
of my -Mind. I am the Monster of my - patience \---I am not a monster- i am
monkster---- Stay Focused. Be positive .

",2023-04-29T09:48:05+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,India,No,                0.00,0,No feedback yet,Intermediate,10 to 15,False,2,[jobLink](https://www.upwork.com/jobs/~01de62e1efe0492f36)
"Looking for professional guitarist, guitar teacher or arranger to record and
mix pop/rock pieces

","Tomplay is a growing company that creates and sells interactive sheet music
for iPhone, iPad, Android tablets and computers. These scores are synchronized
with high quality audio tracks recorded by real musicians for our users to
listen to and play along with. You can find more information in this demo
video: (https://www.youtube.com/watch?v=BwZbj3PRIjU) and on our website
(https://tomplay.com/). We are looking for a PROFESSIONAL guitarist, guitar
teacher or with experience in teaching guitar, or a professional arranger. The
job entails : \- transcribing original guitar parts (pop-rock) and creating
simplified versions of the original, adapted to students/users of all levels
\- delivering sibelius+pdf files of all the sheets music \- delivering the
recordings of the different simplified versions of the guitar parts as well as
of the original, mixed and integrated in a backing track The job requires
close collaboration with our team and guitar specialist. Requirements : \-
Excellent technique and musicality required. You are a professional guitar
player and are classically trained. \- Strong knowledge of Sibelius: be able
to deliver clean guitar scores (standard notation + tab) containing electric
guitar effects (slides, slurs, bends and others) \- Recording and mixing
facilities: you can record yourself in a professional standard studio quality
and take care of the mixes. Please share with us a recording with the
corresponding scores (sib + pdf). Don't hesitate to go and see what we offer
on our website to get an idea of the work expected.

",2023-05-09T15:12:24+00:00,More than 6 months,Less than 30 hrs/week,                0.00,$20.00-$50.00,Switzerland,Yes,"           88,373.90",24,"4.00 Stars, based on 24 feedbacks",Expert,5 to 10,False,8,[jobLink](https://www.upwork.com/jobs/~012e2c92cffab5ea2f)
"Audio Podcast Editor needed

","Job Overview: I am seeking an experienced Audio Podcast Editor. The ideal
candidate should have a passion for audio production, with a keen ear for
high-quality audio content. The successful candidate will be responsible for
editing and producing audio content for my podcasts, ensuring that the final
product meets my quality standards. Episodes are approximately 30 min solo
episodes and 60 interview episodes. Initial request is for one episode.
Candidates must send sample of their work when replying to job description.
Responsibilities: • Edit and produce audio content for podcasts, ensuring
high-quality audio output • Work closely with podcast host (me) to understand
the vision and goals for each episode • Manage audio files, ensuring they are
organized and accessible for future use • Use audio editing software to
enhance sound quality and remove any unwanted background noise and filler
words (for example: ummmm, you know, like) or repetitive phrases • Ideal if
have software to identify and eliminate umms quickly • Mix audio levels to
ensure the best listening experience for the audience • Add sound effects and
music to enhance the audio experience • Return sound files separated by
speaker • Collaborate with me to ensure a cohesive final product Skills and
Qualifications: • Proficient in audio and video editing software for example:
Adobe Audition, Final Cut Pro, and Premiere Pro • Must speak fluent English •
Must have high speed internet • Must be willing to meet by video or voice on
US eastern time. • Familiarity with audio equipment, including microphones,
mixers, and audio interfaces • Ability to work under tight deadlines and
manage multiple projects simultaneously • Strong attention to detail and a
keen ear for sound quality • Excellent communication and collaboration skills
• Creative and innovative mindset, always looking for ways to improve the
quality of the final product

",2023-05-03T21:08:36+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,$5.00-$15.00,United States,No,                0.00,0,No feedback yet,Intermediate,20 to 50,False,2,[jobLink](https://www.upwork.com/jobs/~01c6c04067c5d8639c)
"Sound designer to create ambience tracks for my YouTube channel

","Hey! I have a successful ambience YouTube channel that I am hoping to post on
more often. I have struggled to post consistently when I am creating each
ambience video on my own. \- I am looking for someone who can create 30 minute
to 1 hour soundscapes that I will pair with visuals I animate \- I generally
create soundscapes that have looped or repeating audio, but are not obviously
so. I would like a range of sounds in each ambience. \- I am hoping to have a
soundscape that is immersive and realistic \- The ambience videos I create are
usually for relaxation/studying purposes so I generally don't have too many
harsh or loud sounds. Some of the previous video themes I have made include:
1920's bedroom with gramophone, medieval tavern, hiker's cabin in the forest,
medieval bedroom with fire and rain outside, alpine cabin with nature
sounds... just to name a few. I look forward to seeing your applications!

",2023-04-16T13:07:13+00:00,More than 6 months,Less than 30 hrs/week,                0.00,,Australia,No,                0.00,0,No feedback yet,Intermediate,20 to 50,False,6,[jobLink](https://www.upwork.com/jobs/~01dd0748a76b1d9584)
"Singer Needs Musicians and producers (1st Trial- mini project)

","Long term I am trying to flesh out my music and create some demo tracks of
songs, I need a musical collaborator. I need someone who can play the music to
me create the backing to my song so I can create melody and lyrics Hopefully
its someone I can pitch ideas and feelings to so they can translate that. I
value integrity and professionalism and am loyal to people with good values :)
Have had quite a few bad experiences. For now I would like to experiment with
one song I have that Is half finished and see how we vibe. If I click with the
Producer/musician I would definitely continue and hopefully at some point Mix
and master a finished product. I'm an experienced singer but I lack the
musical theory and instrument playing skills :) Musical References (A BIT
VARIED) - For Now Id love to make music in the style of Kwabs, Foy Vance, Bill
Withers, Donny Hathaway, 2017 Ed Sheeran but will list everyone I can think of
Soul/Motown Old School RNB - Foy Vance and Bill Withers (2 I most want to be
like) Whitney, Stevie, Aretha Anything Soul, Brian Mcknight, Gospel music \-
Mahalia Jackson, Smokie Norful Folk/Pop - James Taylor, Patty Griffin, Modern
- Sheeran, Kwabs https://www.youtube.com/watch?v=Yvo620cGMyw , PROJECT VISION:
First phase which I am working on now - play around and come up with raw
musical backing/chord progressions etc (then I write a song based on that
foundation) Later: 2nd Phase - Record a more polished version of that as a
demo (Most likely single instrument) 3rd Phase - Add embellishments,
harmonies, other instruments etc Final Phase - Mix and master (This is
probably far off)

",2023-02-10T02:37:55+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,Australia,Yes,                0.00,0,No feedback yet,Intermediate,5 to 10,False,4,[jobLink](https://www.upwork.com/jobs/~01a1dafeff205277d6)
"Complete sound FX needed for 2D Metroidvania Game

","Hi, We are about halfway through development of a 2D metroidvania action game,
with a heavy emphasis on combat. We need great sound FX for the combat.
Confirmed hits, staggers, wind ups, wind downs, for different weapons.
Traversal mechanics for different enemies and the like as well. The animations
and art is top notch, and as such, the sound needs to be as well. Please let
me know if you are a good match for this.

",2023-04-22T19:58:31+00:00,3 to 6 months,Less than 30 hrs/week,                0.00,,United Kingdom,No,                0.00,0,No feedback yet,Expert,20 to 50,False,6,[jobLink](https://www.upwork.com/jobs/~0167fd6b968fcb3952)
"Sound Editor Needed for Online Course

","Hi! I am looking to hire someone in the next two weeks to help edit
educational training videos used for real estate investors. Scope of Work:
-Edit video + audio using iMovie and upload the content to Teachable.com
-Create audio as a separate download so students can listen like an
audiobook/podcast. Here is a link to a video that is similar to what I am
looking to create: https://u.teachable.com/courses/1395485/lectures/32783168
Goal: Provide high quality content videos and remove all ""um's"" and breathes.
Feedback on how to shorten videos, if needed, would also be helpful. We will
work together, but you will also work independently. I am not experienced
editing videos and how to do so in a way that produces quality content for my
clients. Which is why I need help! Requirements: Self-motivated, has some
experience, and can prepare all files to be uploaded onto the educational
platform. Additional assistance is uploading the files will be required to
ensure all content is easily accessible for students. Please provide 3
references and a sample of your work. This position is contract only. But new
content is always being created, so I would like to work with someone who is
open to the long term, but it is not a requirement.

",2023-04-26T19:09:03+00:00,1 to 3 months,Less than 30 hrs/week,                0.00,$10.00-$25.00,United States,No,                0.00,0,No feedback yet,Entry level,10 to 15,False,6,[jobLink](https://www.upwork.com/jobs/~0124ecfa7c9192651d)
"Music Manager and Mentor to all things Industry Related

","Provide education and experience to a novice performance/recording artist.
This artist is EGOT material and we do not have the knowledge or connections
to break into the recording industry.

",2023-04-18T20:22:43+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,United States,No,                0.00,0,No feedback yet,Intermediate,5 to 10,False,2,[jobLink](https://www.upwork.com/jobs/~01490eb4faf2636e73)
"Cycling74/MaxMSP - multi track, multi channel sound spatialization

","I am working on a prototype for a sound installation. 8+ speakers and one
track per speaker. Want to use Max for controlling it all. V1 is just premade
tracks that I’ll input into the patch and output to the speakers for initial
proof of concept and testing. If you have any experience making or can help me
find existing patches that can apply DSP to the tracks to play around with
perceived spatialization, that would be a bonus. V2 I will want to integrate
microphones so in addition to multiple outputs we’ll have multiple inputs to
explore a live element. But first goal is just the V1. LOCATION: Worldwide is
fine but located near Los Angeles would be a bonus

",2023-04-23T14:25:51+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,$20.00-$35.00,United States,Yes,"          258,603.74",60,"4.98 Stars, based on 60 feedbacks",Intermediate,5 to 10,False,4,[jobLink](https://www.upwork.com/jobs/~016d10fbe6a06b39ed)
"Islamic Audio Producer

","We are looking for an expert audio editor and composer that will be able to
create for us motivational background sounds to be used with Islamic content
on social media. Ideally, the expert would be able to create sounds using
vocals or nature and no instruments. The expert should also be able to isolate
existing sounds currently being used on social media and improve the quality
so that we may be able to use them in the future

",2023-04-16T09:35:42+00:00,More than 6 months,30+ hrs/week,                0.00,$10.00-$20.00,United States,Yes,"          170,457.45",64,"4.26 Stars, based on 64 feedbacks",Expert,5 to 10,False,8,[jobLink](https://www.upwork.com/jobs/~011e96b3dd2eb049fd)
"Audio Engineer for Podcast

","I need help producing podcasts. This is an ongoing job. The ideal candidate
must be able to: 1\. go through a video or audio track and edit out the
dialogue to produce a cohesive podcast 2\. be able to mix in intro and outro
music 3\. be able to engineer the voice so it sounds richer and clearer 4\.
for meditations in the videos be able to add in meditation music into the
background (I will provide it) 5\. be able to provide cohesive descriptions
for each podcast of the content (2-5 sentences) 6\. you will need excellent
skills in English

",2023-05-12T21:42:29+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,United States,Yes,"           23,738.88",16,"5.00 Stars, based on 16 feedbacks",Intermediate,10 to 15,False,4,[jobLink](https://www.upwork.com/jobs/~01ccaf405fc95003eb)
"Audio Production

","I am looking for end to end audio production for piano based instrumentals. I
am interested to develop the texture in the piano sound and mixing/mastering.

",2023-04-10T22:20:06+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,United States,No,                0.00,0,No feedback yet,Intermediate,15 to 20,False,4,[jobLink](https://www.upwork.com/jobs/~0133c6965963135709)
"Audio Composer (Producer) for Social App

","I have a social app, and I need to compose FEEDBACK sounds for clicks. these
sounds should be milliseconds long (feedback sounds) 1-identify areas where we
should have clicks and where we should not 2-prepare sounds for those areas.
this should be done with benchmarking twitter or facebook (see where they use
sound)

",2023-04-22T12:27:57+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,$10.00-$20.00,Ireland,Yes,"           29,078.75",149,"4.70 Stars, based on 149 feedbacks",Entry level,15 to 20,False,4,[jobLink](https://www.upwork.com/jobs/~0169663bbc7af9778e)
"Post Production Audio Repair

","We are looking for help with repairing audio/sound for an interview video.

",2023-05-12T09:57:46+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,Hong Kong,No,                0.00,0,No feedback yet,Intermediate,20 to 50,False,4,[jobLink](https://www.upwork.com/jobs/~01b9705e3e25e95a67)
"Music Production Remake

","Hello! Hello, I am looking to hire a professional producer to remake as much
as possible and in details several songs from the artist ""INNA"". I am
interested in remaking 100% as in original the following songs: ""INNA - MORE
THAN FRIENDS FEAT DADDY YANKEE""; ""INNA - COLA SONG FEAT J.BALVIN""; ""INNA -
YALLA""; To work together on this project i will need the following things if
possible: \- An estimate of how many hours will it take you to work on each
song; \- A short demo with the instrumental/drop part of a song before working
on it. Many Thanks!!!

",2023-05-11T08:58:44+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,$20.00-$40.00,Romania,No,                0.00,0,No feedback yet,Expert,15 to 20,False,4,[jobLink](https://www.upwork.com/jobs/~01b1b88b12bdebd1bb)
"Audio engineering

","it a murder mystery party and i need someone to play sound effects so when
guest start to play the game they can see that i got murder

",2023-05-12T20:47:04+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,$24.00-$45.00,Australia,No,                0.00,0,No feedback yet,Expert,5 to 10,False,2,[jobLink](https://www.upwork.com/jobs/~01e8a0c910bae24924)
"Beat maker

","We are looking for a talented beat maker who can help us produce high-quality
music tracks for our upcoming projects. The ideal candidate should have a
passion for music production and be proficient in audio mastering, music
arrangement, sound mixing, and other related skills. As our beat maker, you
will be responsible for creating and producing original beats and
instrumentals that align with our project's goals and direction. You will work
closely with our team of music producers and artists to ensure that all tracks
are of the highest quality and meet our clients' expectations. To be
considered for this role, please submit a detailed proposal outlining how you
can contribute to our project. Please provide links to your past completed
projects that showcase your beat-making skills, as well as any relevant
certifications or qualifications that demonstrate your expertise. This is a
long-term project with a duration of more than six months, and we are looking
for a reliable and dedicated beat maker to join our team. If you are
passionate about music production and ready to take on this exciting
opportunity, we encourage you to apply. Note: Some of the content in this job
post may have been auto-generated using advanced AI.

",2023-05-07T21:08:36+00:00,More than 6 months,30+ hrs/week,                0.00,$5.00-$10.00,United States,No,                0.00,0,No feedback yet,Intermediate,20 to 50,False,8,[jobLink](https://www.upwork.com/jobs/~015aec0b0440abc839)
"8 track EP themed around acoustic songs and fairycore flower themes

","Wrighting an EP that is focused on flowers and nature, and uses that sort of
analogy to describe certain scenarios in my life or around my life. It's a 8
track project and it's almost fully written, but it doesnt take me long to
perfect my songs. I'm looking for someone who I can potentially work with in
the future on another 4/5 projects I have written if they work well with my
style. My genre is soft bluesy indie music, with some pop folk twists in the
soft flower theme too

",2023-05-04T01:49:35+00:00,3 to 6 months,Less than 30 hrs/week,                0.00,$15.00-$38.00,Canada,No,                0.00,0,No feedback yet,Intermediate,10 to 15,False,6,[jobLink](https://www.upwork.com/jobs/~010dd6f1399821a5e0)
"Editing Audio

","Looking for someone to edit some audio files. I need to remove the background
noise in the files and increase the sound of their voices. There is roughly 62
minutes of audio to edit. Need someone who can get this done ASAP. Thanks.

",2023-04-13T01:26:59+00:00,Less than 1 month,not_sure,                0.00,$25.00-$35.00,Australia,Yes,"           41,485.14",50,"4.99 Stars, based on 50 feedbacks",Intermediate,15 to 20,False,4,[jobLink](https://www.upwork.com/jobs/~015b30eafdd05a9f72)
